1,¿Qué es un contrato de trabajo?,"El contrato de trabajo es aquel por el cual una persona se obliga, mediante una retribución, a prestar un servicio personal a otra, bajo la dependencia y dirección inmediata o delegada de ésta. Artículo 1 del código de trabajo.  "
2,¿Qué se necesita para que se desarrolle un contrato de trabajo?,"Se necesitan tres elementos principales: a)  prestar un servicio;  b) que por ese servicio exista una remuneración; y  c) que el trabajador esté bajo la dependencia del empleador y que se encuentre subordinado al mismo. Para que exista un contrato, necesariamente se deben dar estos tres elementos, siendo el más importante el de la subordinación. Artículo 1 del CT."
3,¿El código de trabajo le aplica para los empleados del sector público y para los que trabajan de manera independiente?,"No, no le aplica. En cuanto a los empleados públicos, los mismos están regidos por otra ley (ley de Función Pública. No.41-08)  y en cuanto a las personas que laboran de manera independiente, tampoco le aplica pues el código de trabajo regula solamente el trabajo subordinado, es decir, la relación entre un empleador y un trabajador que presente un servicio subordinado para éste. Principio III y art.5 del CT."
4,"¿Un trabajador puede renunciar a sus propios derechos, como por ejemplo a sus vacaciones?","No, eso no es posible. Todos los derechos que están reconocidos en el código de trabajo a favor de los trabajadores no son sujeto a renuncia, es decir, que el trabajador debe hacer uso de ellos. Principio V y art. 38 del CT."
5,¿Un contrato de trabajo solo es válido si está por escrito?,"No. El contrato de trabajo  no es el que consta por escrito, sino el que se ejecuta en los hechos, es decir, que puede pactarse de manera verbal y tiene el mismo valor que un contrato hecho por escrito. De igual forma, un trabajador puede exigirle a un empleador que el contrato de trabajo que mantienen se haga por escrito y si éste se niega, el mismo puede acudir al Ministerio de Trabajo para resolver la situación y si aún así el empleado no acude a dicha institución, el empleado podría demandar a la empresa. Principio IX y art.19 del CT."
6,¿Cuántos tipos de contratos de trabajo existen?,Contrato de trabajo por tiempo indefinido y por cierto tiempo (temporales). Dentro de los contratos temporales están los que se hacen para una obra o servicio determinado; los contratos estacionales (los que solo duren una parte del año); y los móviles u ocasionales. Artículos 25 al 35 del CT.
7,¿Cuándo puede celebrarse un contrato de trabajo por cierto tiempo?,"Los contratos de trabajo solo pueden celebrarse por cierto tiempo si es conforme a la naturaleza de los servicios que se va prestar; si tiene por objeto la sustitución provisional de un trabajador en caso de licencia, vacaciones o cualquier impedimento temporal o si conviene a los intereses del trabajador. Art. 33 del CT."
8,¿Los contratos por cierto tiempo o para una obra o servicio determinado pueden celebrarse de manera verbal?,"No. Estos tipos de contratos temporales deben hacerse por escrito de manera obligatoria porque si no, pueden entenderse contratos de trabajo por tiempo indefinido. Art. 34 del CT."
9,¿Puedo trabajar de manera sucesiva para una empresa mediante varios contratos de trabajo para una obra o servicio determinado?,"Es posible pero si se celebran de manera continua un contrato de obra o servicio determinado tras otro, puede entenderse que es un contrato por tiempo indefinido. Aunque se esperen dos meses para volver a trabajar con esa empresa y se continúa con esa práctica, de todos modos se entenderá que es un contrato por tiempo indefinido. Art. 31 del CT."
10,¿Cuáles tipos de terminación de contrato de trabajo existen?,"Un contrato de trabajo puede terminar con o sin responsabilidad para las partes. Terminan sin responsabilidad para las partes por varias causas: por mutuo consentimiento (cuando ambas partes acuerdan darlo por terminado); por la ejecución del contrato (contrato para una obra o servicio determinado); por la imposibilidad de ejecución (por ejemplo caso fortuito o de fuerza mayor). En cambio, un contrato de trabajo termina con responsabilidad para alguna de las partes con estos tres tipos de terminaciones: 1. Desahucio, 2. Despido y 3. Dimisión. Artículos 67, 68, 72, 73 y 74 del CT."
11,"¿Cuándo finalice mi contrato temporal (por cierto tiempo) porque ya se cumplió el plazo estipulado,  cuales derechos me corresponden?","Si el contrato termina antes de los tres meses, el único derecho que le corresponde es la proporción del salario de navidad de ese año pero puede ser pagado por la empresa hasta el 20 de diciembre de ese año. Sin embargo, si dura más de tres meses, la empresa deberá pagar el auxilio de cesantía y los derechos adquiridos que correspondan: si dura cinco meses o más, una proporción por vacaciones y proporción de salario de navidad. Artículos 32, 177, 179, 180 y 219 del código de trabajo. "
12,¿Qué es el desahucio?,"Es el acto por el cual una de las partes, mediante aviso previo a la otra y sin alegar causa, ejerce el derecho de poner término a un contrato por tiempo indefinido. Art.75 del CT."
